Parent	Daughters
akpe1249	uvbi1238
akpe1249	yekh1238
akum1239	akum1238
akum1239	baaz1234
akum1239	beez1238
akun1243	akun1241
akun1243	saki1248
alab1247	alab1237
alab1247	apal1237
alab1247	koas1236
alab1255	alab1246
alab1255	cama1250
alas1255	cent2127
alas1255	paci1278
alba1267	arbe1236
alba1267	arva1236
alba1267	gheg1238
alba1267	tosk1239
alba1268	arbe1236
alba1268	arva1236
alba1268	tosk1239
alba1272	angu1242
alba1272	tyan1235
alba1272	yang1305
alba1272	yupu1235
alem1243	colo1254
alem1243	swab1242
alem1243	swis1247
alem1243	wals1238
algi1248	algo1255
algi1248	arap1274
algi1248	atik1240
algi1248	caro1243
algi1248	cent2136
algi1248	chey1247
algi1248	chip1241
algi1248	east2542
algi1248	east2544
algi1248	gros1243
algi1248	kick1244
algi1248	loup1243
algi1248	mahi1248
algi1248	male1292
algi1248	meno1252
algi1248	mesk1242
algi1248	miam1252
algi1248	mikm1235
algi1248	mohe1244
algi1248	mont1268
algi1248	moos1236
algi1248	muns1251
algi1248	nant1249
algi1248	nask1242
algi1248	nawa1259
algi1248	nort1552
algi1248	nort2961
algi1248	otta1242
algi1248	pisc1239
algi1248	plai1258
algi1248	pota1247
algi1248	powh1243
algi1248	seve1240
algi1248	shaw1249
algi1248	siks1238
algi1248	sout2978
algi1248	swam1239
algi1248	unam1242
algi1248	wamp1249
algi1248	wamp1250
algi1248	west1510
algi1248	west2630
algi1248	wiyo1248
algi1248	wood1236
algi1248	yuro1248
algo1256	algo1255
algo1256	arap1274
algo1256	atik1240
algo1256	caro1243
algo1256	cent2136
algo1256	chey1247
algo1256	chip1241
algo1256	east2542
algo1256	east2544
algo1256	gros1243
algo1256	kick1244
algo1256	loup1243
algo1256	mahi1248
algo1256	male1292
algo1256	meno1252
algo1256	mesk1242
algo1256	miam1252
algo1256	mikm1235
algo1256	mohe1244
algo1256	mont1268
algo1256	moos1236
algo1256	muns1251
algo1256	nant1249
algo1256	nask1242
algo1256	nawa1259
algo1256	nort1552
algo1256	nort2961
algo1256	otta1242
algo1256	pisc1239
algo1256	plai1258
algo1256	pota1247
algo1256	powh1243
algo1256	seve1240
algo1256	shaw1249
algo1256	siks1238
algo1256	sout2978
algo1256	swam1239
algo1256	unam1242
algo1256	wamp1249
algo1256	wamp1250
algo1256	west1510
algo1256	west2630
algo1256	wood1236
alit1234	kapp1237
alit1234	tuml1238
alor1249	abui1241
alor1249	adan1251
alor1249	blag1240
alor1249	hama1240
alor1249	kabo1247
alor1249	kaer1234
alor1249	kafo1240
alor1249	kama1365
alor1249	kelo1247
alor1249	kuii1253
alor1249	kula1280
alor1249	lamm1241
alor1249	nede1245
alor1249	rett1240
alor1249	sarr1247
alor1249	sawi1256
alor1249	teiw1235
alor1249	tere1277
alor1249	wers1238
alor1250	abui1241
alor1250	adan1251
alor1250	blag1240
alor1250	hama1240
alor1250	kabo1247
alor1250	kafo1240
alor1250	kama1365
alor1250	kelo1247
alor1250	kuii1253
alor1250	kula1280
alor1250	rett1240
alor1250	sawi1256
alor1250	tere1277
alor1250	wers1238
alor1251	alor1247
alor1251	lama1278
alto1249	bani1254
alto1249	guar1293
alto1249	maip1246
alto1249	yavi1244
alto1250	anau1243
alto1250	bare1276
alto1250	guin1258
alto1250	yaba1249
alts1234	acht1238
alts1234	dren1238
alts1234	east2288
alts1234	gron1242
alts1234	midd1318
alts1234	nort2627
alts1234	olds1250
alts1234	plau1238
alts1234	sall1238
alts1234	stel1238
alts1234	twen1241
alts1234	velu1238
alts1234	west2356
alum1249	akee1238
alum1249	akpo1243
alum1249	alum1246
alum1249	eggo1239
alum1249	hash1238
alum1249	ijaz1238
alum1249	liji1238
alum1249	samb1307
alum1249	tanj1247
alum1249	toro1249
alum1250	akpo1243
alum1250	alum1246
alum1250	hash1238
alum1250	samb1307
alum1250	toro1249
alum1251	akpo1243
alum1251	alum1246
amal1243	alun1238
amal1243	hulu1246
amal1243	lisa1239
amal1243	loun1239
amal1243	naka1263
amal1243	sale1244
amal1243	yala1266
amam1245	kika1239
amam1245	nort2935
amam1245	okin1246
amam1245	sout2954
amam1245	toku1246
amam1245	yoro1243
amba1270	east2443
amba1270	west2513
ambe1249	biga1238
ambe1249	waig1244
ambo1253	ambo1250
ambo1253	band1353
ambo1254	hitu1239
ambo1254	laha1251
ambo1254	seit1239
ambo1254	tule1244
ambr1240	daka1243
ambr1240	lonw1238
ambr1240	nort2839
ambr1240	orko1234
ambr1240	port1286
ambr1240	sout2859
ambu1246	ambu1247
ambu1246	hang1263
amem1235	amii1238
amem1235	mand1416
amer1258	amer1248
amer1258	jama1263
amha1244	amha1245
amha1244	argo1244
amto1249	amto1250
amto1249	siaw1243
amuz1253	alac1244
amuz1253	alco1235
amuz1253	amol1236
amuz1253	apas1235
amuz1253	atat1238
amuz1253	ayut1236
amuz1253	caca1250
amuz1253	chay1249
amuz1253	chaz1235
amuz1253	chic1273
amuz1253	chig1239
amuz1253	coat1241
amuz1253	copa1237
amuz1253	cuya1240
amuz1253	diux1235
amuz1253	guer1243
amuz1253	huit1252
amuz1253	ipal1235
amuz1253	itun1239
amuz1253	ixta1235
amuz1253	jami1235
amuz1253	juxt1235
amuz1253	magd1235
amuz1253	metl1238
amuz1253	mitl1235
amuz1253	mixt1425
amuz1253	nort2985
amuz1253	nort2986
amuz1253	ocot1243
amuz1253	peno1244
amuz1253	pino1237
amuz1253	sanj1281
amuz1253	sanj1282
amuz1253	sanm1294
amuz1253	sanm1295
amuz1253	sanm1298
amuz1253	sanp1260
amuz1253	sant1436
amuz1253	sant1439
